TXNAME	GENEID_0	chrom_I_337_1154
_1	chrom_I_1150_1415
_2	chrom_I_1411_1669
_3	chrom_I_1665_1898
_4	chrom_I_1894_2306
_5	chrom_I_2302_3260
_6	chrom_I_3256_3616
_7	chrom_I_3612_3988
_8	chrom_I_3984_4708
_9	chrom_I_4704_6491
_10	chrom_I_6487_6764
_11	chrom_I_6760_6844
_12	chrom_I_6840_7011
_13	chrom_I_7007_8175
_14	chrom_I_8171_8686
_15	chrom_I_8682_8703
_16	chrom_I_8699_8831
_17	chrom_I_8827_8987
_18	chrom_I_8983_9372
_19	chrom_I_9368_9496
_20	chrom_I_9492_10029
_21	chrom_I_10025_10530
_22	chrom_I_10526_10670
_23	chrom_I_10666_11681
_24	chrom_I_11677_13365
_25	chrom_I_13361_13912
_26	chrom_I_13908_14274
_27	chrom_I_14270_15015
_28	chrom_I_15011_15949
_29	chrom_I_15945_17119
_30	chrom_I_17115_17251
_31	chrom_I_17247_17680
_32	chrom_I_17676_17874
_33	chrom_I_17870_18319
_34	chrom_I_18315_18560
_35	chrom_I_18556_18910
_36	chrom_I_18906_19309
_37	chrom_I_19305_20259
_38	chrom_I_20255_21162
_39	chrom_I_21158_21370
_40	chrom_I_21366_22120
_41	chrom_I_22116_22338
_42	chrom_I_22334_22711
_43	chrom_I_22707_22739
_44	chrom_I_22735_22806
_45	chrom_I_22802_23523
_46	chrom_I_23519_24113
_47	chrom_I_24109_24515
_48	chrom_I_24511_28236
_49	chrom_I_28232_28502
_50	chrom_I_28498_28911
_51	chrom_I_28907_29283
_52	chrom_I_29279_30369
_53	chrom_I_30365_30452
_54	chrom_I_30448_30606
_55	chrom_I_30602_31609
_56	chrom_I_31605_31696
_57	chrom_I_31692_31858
_58	chrom_I_31854_31945
_59	chrom_I_31941_32070
_60	chrom_I_32066_32185
_61	chrom_I_32181_32281
_62	chrom_I_32277_32386
_63	chrom_I_32382_32771
_64	chrom_I_32767_32794
_65	chrom_I_32790_34033
_66	chrom_I_34029_34652
_67	chrom_I_34648_35282
_68	chrom_I_35278_35581
_69	chrom_I_35577_36103
_70	chrom_I_36099_36245
_71	chrom_I_36241_36843
_72	chrom_I_36839_37055
_73	chrom_I_37051_37617
_74	chrom_I_37613_37697
_75	chrom_I_37693_37998
_76	chrom_I_37994_38248
_77	chrom_I_38244_38266
_78	chrom_I_38262_38290
_79	chrom_I_38286_38652
_80	chrom_I_38648_38672
_81	chrom_I_38668_38884
_82	chrom_I_38880_39381
_83	chrom_I_39377_39392
_84	chrom_I_39388_39931
_85	chrom_I_39927_39987
_86	chrom_I_39983_40371
_87	chrom_I_40367_40802
_88	chrom_I_40798_41069
_89	chrom_I_41065_41126
_90	chrom_I_41122_41207
_91	chrom_I_41203_42467
_92	chrom_I_42463_43009
_93	chrom_I_43005_43041
_94	chrom_I_43037_43232
_95	chrom_I_43228_44087
_96	chrom_I_44083_44336
_97	chrom_I_44332_44883
_98	chrom_I_44879_45289
_99	chrom_I_45285_45905
_100	chrom_I_45901_46277
_101	chrom_I_46273_46508
_102	chrom_I_46504_46860
_103	chrom_I_46856_47222
_104	chrom_I_47218_47419
_105	chrom_I_47415_47468
